Unit number,D1(LRBCPS),D14(LRBCPS),D28(LRBCPS),D42(LRBCPS),D1(Neocyte),D14(Neocyte),D28(Neocyte),D42(Neocyte),MCV D1(LRBCPS),MCV D14(LRBCPS),MCV D28(LRBCPS),MCV D42(LRBCPS),MCV D1(Neocyte),MCV D14(Neocyte),MCV D28(Neocyte),MCV D42(Neocyte),MCHC D1 (LRBCPS),MCHC D14 (LRBCPS),MCHC D28 (LRBCPS),MCHC D42 (LRBCPS),MCHC D1 (Neocytes),MCHC D14 (Neocytes),MCHC D28 (Neocytes),MCHC D42 (Neocytes),Hb D1 (LRBCPS),Hb D14 (LRBCPS),Hb D28 (LRBCPS),Hb D42 (LRBCPS),Hb D1 (Neocytes),Hb D14 (Neocytes),Hb D28 (Neocytes),Hb D42 (Neocytes),Sodium D1 (LRBCPS),Sodium D14 (LRBCPS),Sodium D28 (LRBCPS),Sodium D42 (LRBCPS),Sodium D1 (Neocytes),Sodium D14(Neocytes),Sodium D28 (Neocytes),Sodium D42 (Neocytes),Percentage Plasma Haemolysis D1 (LRBCPS),Percentage Plasma Haemolysis D14 (LRBCPS),Percentage Plasma Haemolysis D28 (LRBCPS),Percentage Plasma Haemolysis D42 (LRBCPS),Percentage Plasma Haemolysis D1 (Neocytes),Percentage Plasma Haemolysis D14 (Neocytes),Percentage Plasma Haemolysis D28 (Neocytes),Percentage Plasma Haemolysis D42 (Neocytes)
1,6.35,6.4,6.37,6.35,5.85,5.93,5.88,5.93,91.2,95,97,100.6,95.2,97,98.5,103.5,31.6,30.4,29.8,29,30.3,29.9,29.5,27.9,16.9,18.5,18.4,18.5,18.3,17.2,17.1,17.1,127,133,124,114,114,134,125,115,0.3,0.19,0.31,0.47,0.27,0.32,0.39,0.65
2,6.27,6.38,6.45,6.39,6.41,6.58,6.74,6.74,87.1,96.4,100.9,104.9,90.2,100.3,105.2,108.3,33.7,30.4,28.4,27.8,32.4,29.4,27.4,26.6,18.4,18.7,18.5,18.6,18.7,19.4,19.4,19.4,140,125,116,112,140,124,113,108,0.12,0.37,0.53,0.71,0.23,0.39,0.48,0.6
3,6.41,7.68,6.26,6.39,6.88,7.02,6.94,7,97.2,97.4,99.4,100.3,101.6,101.7,103.9,106.9,28.9,28.7,28,27.8,27.9,27.6,27.2,26.7,18,21.5,17.5,17.8,19.5,19.7,19.6,20,138,119,113,107,137,116,100,100,0.13,0.11,0.24,0.3,0.36,0.41,0.74,0.91
4,6.23,5.76,5.7,7.26,8.32,8.44,8.36,8.48,91.8,94.1,96.5,96.8,93,95.3,98.6,100.7,29.7,29,28.2,27.9,28.8,27.7,27.1,26.3,17,15.7,15.5,19.6,22.3,22.3,22.3,22.5,138,126,118,111,137,101,100,100,0.08,0.18,0.52,0.61,0.22,0.4,0.54,0.8
5,7.78,7.75,7.55,8.32,7.74,7.89,7.89,8.08,87.5,90.3,92.1,94.4,90.2,93.4,94.8,97.6,28.9,28.3,27.9,25.6,27.9,27.4,26.6,25.9,19.7,19.8,19.4,21.3,19.5,20.2,19.9,20.4,144,125,110,100,143,120,104,100,0.21,0.35,0.53,0.57,0.14,0.27,0.39,0.47
6,7.57,7.54,7.52,7.15,7.98,8.14,8.21,8.27,86,91.2,93.6,97.5,89,94.5,97.2,100.7,32.7,31,30,28.8,31,29.6,28.4,27.7,21.3,21.3,21.1,20.1,22,22.8,22.7,23.1,141,121,113,104,137,115,101,100,0.33,0.4,0.48,0.68,0.28,0.37,0.4,0.47
7,6.98,7,6.85,6.9,7.25,7.27,7.16,7.49,83.8,84.9,88.2,89.7,85.1,87.1,91.6,93.7,29.2,28.6,27.8,27.1,28.2,27.6,26.5,25.5,17.1,17,16.8,16.8,17.4,17.5,17.4,17.9,140,122,112,108,141,121,106,100,0.07,0.19,0.35,0.64,0.28,0.37,0.4,0.47
8,5.62,5.6,5.6,5.46,5.51,5.61,5.47,5.57,104.4,107.5,112.1,113.6,108,110.7,115.5,117.4,32.7,30.2,29.5,28.7,30.3,29.5,28.5,28.1,18.4,18.2,18.2,17.8,18,18.3,18,18.4,142,125,116,109,141,121,106,100,0.25,0.46,0.61,0.79,0.14,0.35,0.57,0.79
9,6.92,6.87,6.75,6.81,6.95,7.07,7.08,7.02,93.4,96.1,100.7,103.1,97.1,98.3,103.4,104.8,30.8,29.8,28.8,27.6,29.3,29.1,27.3,27.2,19.9,19.7,19.6,19.4,19.8,20.2,20,20,143,117,107,103,141,116,102,104,0.12,0.33,0.41,0.69,0.21,0.39,0.69,0.79
10,6.83,6.82,6.73,6.74,6.49,6.58,6.5,6.52,94.9,98.1,101.3,103.4,98.5,101.5,105.2,106.9,30.2,29.1,28.4,27.8,29,28.3,27.2,26.8,19.6,19.5,19.4,19.4,18.5,18.9,18.6,18.7,142,119,107,102,142,118,106,100,0.14,0.22,0.25,0.45,0.23,0.39,0.56,0.89
11,6.85,6.77,6.79,6.44,5.99,6.55,6.34,6.06,92.7,95.6,99.3,104.3,96.5,98,103.3,106.8,29.9,29.2,28,26.9,28.7,27.5,27,26,19,18.9,18.9,18.1,16.6,18,17.7,16.8,143,120,110,108,141,121,111,105,0.1,0.17,0.31,0.65,0.33,0.38,0.66,0.88
12,6.77,6.78,6.72,6.69,7.55,7.83,7.91,7.5,87.3,92.2,94.3,98.2,88.9,93.4,96.3,99.6,29.1,27.7,27.3,25.6,28.3,27.4,26.5,25.7,17.2,17.3,17.3,17.1,19,20,20.2,19.2,141,126,117,113,141,117,100,100,0.1,0.17,0.32,0.54,0.14,0.16,0.24,0.45
13,6.7,6.72,6.55,6.49,5.52,5.58,5.06,5.37,94,98.2,101.8,105.4,97.5,100.9,105.3,109.6,30.2,28.8,28.2,27.3,29.2,27.9,27,27.7,19,19,18.8,18.7,15.7,15.7,14.4,18.7,143,127,122,111,143,132,113,107,0.25,0.32,0.48,0.63,0.29,0.42,0.71,0.78
14,6.77,6.83,6.84,6.5,6.67,6.72,6.78,6.15,93.9,99.1,104.5,108.5,96.7,102.1,106.5,108.2,32.2,30.6,29,28.4,30.7,29.4,28,26.7,20.5,20.7,20.7,20,19.8,20.2,20.2,15.5,141,122,107,107,139,110,106,117,0.21,0.39,0.58,0.78,0.13,0.31,0.52,1.14
15,6.7,6.74,6.66,6.7,6.68,6.89,6.84,6.73,91.2,94.2,99.4,100.7,93.3,95.6,100.1,104,30.3,29,28.1,27.6,29.4,29.1,27.6,26.4,18.5,18.4,18.6,18.6,18.3,19.2,18.9,18.5,139,122,111,100,137,123,109,103,0.13,0.22,0.42,0.61,0.23,0.28,0.43,0.65
16,6.35,6.36,6.21,6.09,7.61,7.8,7.73,7.68,82.2,86,90.7,93.6,84.2,87.6,91.7,94,28.9,27.8,26.5,25.6,28.4,27.7,26.1,25.8,15.1,15.2,14.9,14.6,18.2,18.9,18.5,18.6,140,128,112,110,138,120,110,100,0.13,0.33,0.56,0.77,0.22,0.37,0.5,0.67
17,5.8,5.91,5.69,5.69,6.39,6.6,6.35,6.28,105,108.3,110.5,112.1,107.5,111.1,113.1,115.6,31,29.7,29.7,29.2,30.3,29.3,29.1,28.8,18.9,19,18.7,18.6,20.8,21.5,20.9,20.9,142,128,118,107,139,120,107,100,0.1,0.25,0.42,0.78,0.17,0.26,0.4,0.72
